,Globalstrahlung_Stündlich
2023-01-01 00:00:00,0.0
2023-01-01 01:00:00,0.0
2023-01-01 02:00:00,0.0
2023-01-01 03:00:00,0.0
2023-01-01 04:00:00,0.0
2023-01-01 05:00:00,0.0
2023-01-01 06:00:00,0.0
2023-01-01 07:00:00,0.0
2023-01-01 08:00:00,20.16
2023-01-01 09:00:00,52.56
2023-01-01 10:00:00,85.87
2023-01-01 11:00:00,90.25999999999999
2023-01-01 12:00:00,80.54999999999998
2023-01-01 13:00:00,129.14
2023-01-01 14:00:00,88.22
2023-01-01 15:00:00,36.14
2023-01-01 16:00:00,2.5
2023-01-01 17:00:00,0.0
2023-01-01 18:00:00,0.0
2023-01-01 19:00:00,0.0
2023-01-01 20:00:00,0.0
2023-01-01 21:00:00,0.0
2023-01-01 22:00:00,0.0
2023-01-01 23:00:00,0.0
2023-01-02 00:00:00,0.0
2023-01-02 01:00:00,0.0
2023-01-02 02:00:00,0.0
2023-01-02 03:00:00,0.0
2023-01-02 04:00:00,0.0
2023-01-02 05:00:00,0.0
2023-01-02 06:00:00,0.0
2023-01-02 07:00:00,0.0
2023-01-02 08:00:00,13.87
2023-01-02 09:00:00,54.03
2023-01-02 10:00:00,100.48
2023-01-02 11:00:00,67.85999999999999
2023-01-02 12:00:00,57.39999999999998
2023-01-02 13:00:00,138.12
2023-01-02 14:00:00,121.37
2023-01-02 15:00:00,25.34
2023-01-02 16:00:00,1.43
2023-01-02 17:00:00,0.0
2023-01-02 18:00:00,0.0
2023-01-02 19:00:00,0.0
2023-01-02 20:00:00,0.0
2023-01-02 21:00:00,0.0
2023-01-02 22:00:00,0.0
2023-01-02 23:00:00,0.0
2023-01-03 00:00:00,0.0
2023-01-03 01:00:00,0.0
2023-01-03 02:00:00,0.0
2023-01-03 03:00:00,0.0
2023-01-03 04:00:00,0.0
2023-01-03 05:00:00,0.0
2023-01-03 06:00:00,0.0
2023-01-03 07:00:00,0.0
2023-01-03 08:00:00,9.39
2023-01-03 09:00:00,73.61
2023-01-03 10:00:00,104.74
2023-01-03 11:00:00,-18.735000000000014
2023-01-03 12:00:00,10.494999999999976
2023-01-03 13:00:00,251.44
2023-01-03 14:00:00,197.05
2023-01-03 15:00:00,48.87
2023-01-03 16:00:00,5.14
2023-01-03 17:00:00,0.0
2023-01-03 18:00:00,0.0
2023-01-03 19:00:00,0.0
2023-01-03 20:00:00,0.0
2023-01-03 21:00:00,0.0
2023-01-03 22:00:00,0.0
2023-01-03 23:00:00,0.0
2023-01-04 00:00:00,0.0
2023-01-04 01:00:00,0.0
2023-01-04 02:00:00,0.0
2023-01-04 03:00:00,0.0
2023-01-04 04:00:00,0.0
2023-01-04 05:00:00,0.0
2023-01-04 06:00:00,0.0
2023-01-04 07:00:00,0.0
2023-01-04 08:00:00,12.13
2023-01-04 09:00:00,35.81
2023-01-04 10:00:00,31.35
2023-01-04 11:00:00,32.62
2023-01-04 12:00:00,31.199999999999996
2023-01-04 13:00:00,37.66
2023-01-04 14:00:00,32.1
2023-01-04 15:00:00,8.24
2023-01-04 16:00:00,-0.11
2023-01-04 17:00:00,0.0
2023-01-04 18:00:00,0.0
2023-01-04 19:00:00,0.0
2023-01-04 20:00:00,0.0
2023-01-04 21:00:00,0.0
2023-01-04 22:00:00,0.0
2023-01-04 23:00:00,0.0
2023-01-05 00:00:00,0.0
2023-01-05 01:00:00,0.0
2023-01-05 02:00:00,0.0
2023-01-05 03:00:00,0.0
2023-01-05 04:00:00,0.0
2023-01-05 05:00:00,0.0
2023-01-05 06:00:00,0.0
2023-01-05 07:00:00,0.0
2023-01-05 08:00:00,9.03
2023-01-05 09:00:00,30.72
2023-01-05 10:00:00,62.86
2023-01-05 11:00:00,202.95499999999996
2023-01-05 12:00:00,268.4549999999999
2023-01-05 13:00:00,121.76
2023-01-05 14:00:00,107.35
2023-01-05 15:00:00,20.87
2023-01-05 16:00:00,3.9
2023-01-05 17:00:00,0.0
2023-01-05 18:00:00,0.0
2023-01-05 19:00:00,0.0
2023-01-05 20:00:00,0.0
2023-01-05 21:00:00,0.0
2023-01-05 22:00:00,0.0
2023-01-05 23:00:00,0.0
2023-01-06 00:00:00,0.0
2023-01-06 01:00:00,0.0
2023-01-06 02:00:00,0.0
2023-01-06 03:00:00,0.0
2023-01-06 04:00:00,0.0
2023-01-06 05:00:00,0.0
2023-01-06 06:00:00,0.0
2023-01-06 07:00:00,0.0
2023-01-06 08:00:00,9.0
2023-01-06 09:00:00,51.77
2023-01-06 10:00:00,121.97
2023-01-06 11:00:00,120.74000000000002
2023-01-06 12:00:00,96.66000000000003
2023-01-06 13:00:00,32.1
2023-01-06 14:00:00,14.69
2023-01-06 15:00:00,10.78
2023-01-06 16:00:00,1.89
2023-01-06 17:00:00,0.0
2023-01-06 18:00:00,0.0
2023-01-06 19:00:00,0.0
2023-01-06 20:00:00,0.0
2023-01-06 21:00:00,0.0
2023-01-06 22:00:00,0.0
2023-01-06 23:00:00,0.0
2023-01-07 00:00:00,0.0
2023-01-07 01:00:00,0.0
2023-01-07 02:00:00,0.0
2023-01-07 03:00:00,0.0
2023-01-07 04:00:00,0.0
2023-01-07 05:00:00,0.0
2023-01-07 06:00:00,0.0
2023-01-07 07:00:00,0.0
2023-01-07 08:00:00,4.82
2023-01-07 09:00:00,15.45
2023-01-07 10:00:00,30.24
2023-01-07 11:00:00,-38.31499999999999
2023-01-07 12:00:00,-42.074999999999996
2023-01-07 13:00:00,48.85
2023-01-07 14:00:00,97.59
2023-01-07 15:00:00,47.48
2023-01-07 16:00:00,5.06
2023-01-07 17:00:00,0.0
2023-01-07 18:00:00,0.0
2023-01-07 19:00:00,0.0
2023-01-07 20:00:00,0.0
2023-01-07 21:00:00,0.0
2023-01-07 22:00:00,0.0
2023-01-07 23:00:00,0.0
2023-01-08 00:00:00,0.0
2023-01-08 01:00:00,0.0
2023-01-08 02:00:00,0.0
2023-01-08 03:00:00,0.0
2023-01-08 04:00:00,0.0
2023-01-08 05:00:00,0.0
2023-01-08 06:00:00,0.0
2023-01-08 07:00:00,0.0
2023-01-08 08:00:00,7.66
2023-01-08 09:00:00,37.06
2023-01-08 10:00:00,64.6
2023-01-08 11:00:00,26.915000000000006
2023-01-08 12:00:00,-14.985
